Data wystawienia;Kontrahent;Przychód;Rozchód
11.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
11.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
04.06.2019;Forum Zarz¹dzanie Nieruchomoœciami sp.j.;0;1
31.05.2019;Zespó³ Szkó³ Nr 3 we Wroc³awiu;0;2
31.05.2019;Wspólnota Mieszkaniowa THE AVENUE;0;1
31.05.2019;Wspólnota Mieszkaniowa przy ul. Semaforowej 31-93 ;0;1
30.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
30.05.2019;"Wspólnota Mieszkaniowa ""Ró¿y Wiatrów""";0;1
30.05.2019;ZAK£AD METALIZACJI PRÓ¯NIOWEJ MAREK GRODZKI;908;0
28.05.2019;Szko³a Podstawowa Nr 109 im. Edwarda Dembowskiego;0;3
21.05.2019;Szko³a Podtstawowa nr 77 im. T.Ró¿ewicza;0;1
20.05.2019;Szko³a Podstawowa Im.Boles³awa Krzywoustego w Kami;0;2
20.05.2019;D+H Polska Sp. z o.o.;0;1
20.05.2019;VESTA ZARZ¥DZANIE NIERUCHOMOŒCIAMI ;0;2
17.05.2019;Superhobby Market Budowlany Sp. zoo;0;2
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
17.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
16.05.2019;Wspólnota Mieszkaniowa przy ul.Waloñskiej 7-13;0;2
16.05.2019;ADAR Adam Dudek;0;2
10.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;6
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
08.05.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
06.05.2019;IPF SERVICE Sp. z o.o.;0;6
26.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
26.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
16.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
16.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
15.04.2019;DOMEK Z SERCEM S.C. BRYGIDA NOWAK, VIOLETTA PAWLUS;0;1
15.04.2019;DOMEK Z SERCEM S.C. BRYGIDA NOWAK, VIOLETTA PAWLUS;0;2
15.04.2019;PENTAGON PIOTR WALUS;0;3
15.04.2019;"Przedsiêbiorstwo Budowlane ""MAXBUD"" ABJ Sp. z o.o.";0;2
15.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
15.04.2019;Zespó³ Szkó³ Nr 18;0;6
10.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
09.04.2019;D+H Polska Sp. z o.o.;0;2
08.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
08.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
05.04.2019;Fundacja PRZYJAZNY DOM im.Stanis³awa Jab³onki;0;2
04.04.2019;TOYA Development Sp. z o.o. Sp. k. w likwidacji;0;2
03.04.2019;"Przedsiêbiorstwo Budowlane ""MAXBUD"" ABJ Sp. z o.o.";0;1
01.04.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
20.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;11
20.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
15.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
15.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
15.03.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;7
12.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
11.03.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;3
07.03.2019;BFF INVESTMENTS POLSKA SP. z o.o.;0;1
06.03.2019;K.B. INVEST SPp. z o.o. Sp. K.;0;2
06.03.2019;KEA IBB Sp. z o.o. ;2;0
05.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
05.03.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
28.02.2019;KEA IBB Sp. z o.o. ;0;2
27.02.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
22.02.2019;SEKA S.A.;0;2
21.02.2019;D+H Polska Sp. z o.o.;0;1
18.02.2019;Sodexo Polska Sp. z o.o.;0;14
31.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
31.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
31.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
22.01.2019;DRAPA£A ZARZ¥DZANIE NIERUCHOMOŒCIAMI ;0;1
22.01.2019;WSPÓLNOTA MIESZKANIOWA PRZY UL.CHA£UPNICZEJ 55-65;0;1
22.01.2019;Gimnazjum Nr 13 im.Unii Europejskiej;0;10
16.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
11.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
11.01.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
11.01.2019;IPF SERVICE Sp. z o.o.;0;1
11.01.2019;IPF SERVICE Sp. z o.o.;0;1
11.01.2019;IPF SERVICE Sp. z o.o.;0;1
04.01.2019;;290;0
