Data wystawienia;Kontrahent;Przych�d;Rozch�d
04.12.2019;BFF INVESTMENTS POLSKA SP. z o.o.;0;5
29.11.2019;CHIC SPӣKA Z OGRANICZON� ODPOWIEDZIALNO�CI� ;0;1
28.11.2019;S�D REJONOWY DLA WROC�AWIA-FABRYCZNEJ;0;1
27.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
27.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
27.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;6
26.11.2019;Schavemaker Poland Sp. z o.o.;0;8
26.11.2019;WSP�LNOTA MIESZKANIOWA MI�DZYG�RSKA 18;0;1
22.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;15
22.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;6
20.11.2019;EKODYNAMIC Sp. z o.o. Sp�ka Komandytowa;0;1
15.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.11.2019;Wsp�lnota Mieszkaniowa ul. �anowa 7 ;0;1
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;14
08.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;19
08.11.2019;BOXMET;28;0
08.11.2019;HEESUNG PRECISION POLAND Sp. z o.o.;0;17
08.11.2019;HEESUNG PRECISION POLAND Sp. z o.o.;0;13
04.11.2019;IPF SERVICE Sp. z o.o.;0;1
31.10.2019;BOXMET;30;0
31.10.2019;BOXMET;30;0
29.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
24.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;19
18.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
17.10.2019;BOXMET;50;0
16.10.2019;Gmina �migr�d;0;1
11.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
09.10.2019;ULTRANET Sp. z o.o.;0;1
09.10.2019;ULTRANET Sp. z o.o.;0;5
09.10.2019;ULTRANET Sp. z o.o.;0;17
07.10.2019;BOXMET;50;0
04.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
30.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;16
27.09.2019;BOXMET;5;0
27.09.2019;PRUSA 9 Sp. z o.o.;0;10
27.09.2019;PRUSA 9 Sp. z o.o.;0;12
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;15
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
20.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;18
20.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;9
19.09.2019;BOXMET;20;0
18.09.2019;First PFM Sp. z o.o.;0;1
18.09.2019;eCADIS ELEKTROENERGETYKA PRZEMYS�OWA I KOMUNALNA ;0;1
16.09.2019;Robert Bosch Sp. z o.o. ;0;4
12.09.2019;IPF SERVICE Sp. z o.o.;0;2
11.09.2019;SPO�EM PSS PO�UDNIE we Wroc�awiu;0;1
11.09.2019;BOXMET;40;0
09.09.2019;WSP�LNOTA MIESZKANIOWA LA BOHEME  UL. POBO�NEGO 11;0;3
06.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
